obs_0,obs_1,obs_2,obs_3,mo_0,mo_1,mo_2,mo_3,re
0.13593677473867677,0.6466472931050151,0.3033164459938167,1.9001110733958788,0.1383580608827727,0.00974512933640512,0.08513856076851203,0.6468461922151816,0.0009490120900593986
0.0653031501338224,0.7068600422896305,0.27373389798569103,1.7159684494410916,0.7151726342172668,0.008415606827642566,0.1853488580718891,0.4158499787241954,0.0012429634131378598
0.21154246957224362,1.3002281124892388,0.18968742949080464,1.7765861536551937,0.31657958022975596,0.006951091296041734,0.028091640714084837,0.059160189796820695,0.0013367594549342288
0.1422580072821035,0.7949516385995344,0.1133708917145311,1.9763940699009743,0.06072353524199692,0.003604718771206521,0.18483466917065577,0.6066144912737712,0.001111314630160349
0.166964396933915,1.355595745716057,0.001736171241367118,1.9210906856257959,0.572422937103541,0.00987540280098639,0.13335966160618323,0.09342676729110166,0.0013476702519633016
0.11116984555406366,0.6239806115355933,0.22393441710432022,0.6624625962078111,0.793939546397557,0.006337860194310844,0.1231358141955524,0.671224415623636,0.0001968496461665083
0.21481819668847127,1.8468359771653924,0.41618498293552747,1.1580842769480515,0.23551864527905897,0.004376998319611017,0.12944514726750345,0.06640051800878866,0.0006220252273142147
0.180549921173527,0.32304130585336355,0.2608671826074877,1.9614197936102322,0.6978017842060096,0.007543335589028269,0.171020281362131,0.5379409229897592,0.0004932015999460647
0.18590005096461393,1.0406900046890888,0.008042182379275708,2.2453695350793033,0.13737820135960765,0.003851848364667323,0.10818339748361437,0.18556732130996623,5.53927240752661e-05
0.1596020899313164,1.8657762919632925,0.07152022743819579,1.403603191497292,0.4269997967042055,0.007621766164654142,0.010768932920633202,0.8186794091340277,5.0468159867798435e-05
0.04975084767614748,1.8378119209458927,0.0641938823566667,0.23640457502380918,0.15263426918996226,0.009292521993090467,0.12468954778146042,0.8642221189272086,0.0002719350875315045
0.14631573235376177,1.8410301261887225,0.2014017682053063,0.689951811465432,0.9489274664483619,0.0005450236830470378,0.03872932135304388,0.804041564663295,0.0003909003643876371
0.18841032524331175,1.2816578716385973,0.09448825796452054,2.1759338335219485,0.5311546976890136,0.000557675686806901,0.029910892213407602,0.0144054752421785,0.0014435484915140046
0.1709894322028602,0.7548273081718422,0.3004427943020373,2.2278049545036565,0.2593764468260483,0.0005651931570034396,0.033280234779413775,0.0904272395534843,0.0014790985275819474
0.18213471433015707,1.1529479621228964,0.41609839575908286,1.4408846355587512,0.8899956157113666,0.008912834872202851,0.0712898448244034,0.6292146158532699,0.0009994821585175967
0.1292702482792801,1.0107888082549867,0.3715351010201136,1.7880684762573988,0.3878213881326631,0.0006668999023379518,0.06499695307079105,0.6569450549960724,0.0016567423503002384
0.10770032545127842,0.131178277229547,0.1858175218448292,1.96844944099407,0.09850230398464588,0.0005651140221276408,0.1445043925887829,0.0381145721891053,0.0004168485213686103
0.04806497918221438,0.12920098984814996,0.4223266608720653,1.8205065622892953,0.6991034912281423,0.006023946098004193,0.061578411363299466,0.8166675725057078,0.0007916329128729517
0.1543452820011457,0.19875807567776654,0.3587922733160852,1.0061823717323723,0.5488584988661213,0.0031037585809213964,0.10010432817271064,0.5743152842568888,0.0007650467001037678
0.09031499046297926,0.4149592522615394,0.374075941304312,0.4348384252432963,0.25050735283545966,0.008383603163346768,0.13344924167674796,0.957662493509506,0.001297915295540425
0.18177879288458973,1.4130863723566998,0.44447230201395194,1.5072597536681869,0.2976054293638766,0.007179640476979117,0.07971686880296902,0.43351484192256173,0.00017149707205462298
0.2068292389614397,0.9901400424926181,0.3651929968439258,1.8922557989041782,0.1055365974480349,0.007095490349593413,0.20779833213104107,0.16551991754985995,0.0011014103629357703
0.002316900417272377,1.3872848677922112,0.4052601228705016,2.038097861763158,0.05356008510906585,0.0025788810902826974,0.11973320485066422,0.7931406601297633,0.0004720242204892846
0.11016647405484442,1.7179042722314086,0.18979919167135878,1.0349569954050917,0.1178059333774949,0.003342781789646646,0.012573479503912783,0.8144838754980964,0.0009039545450821371
0.03603095259271243,1.4164765661699805,0.15625965366753178,1.4335554474602736,0.06615630819184903,0.00545854195735532,0.16976151055785618,0.8530223711599094,0.00034891289758243177
0.10631395469039201,1.2557336353555466,0.0971257333752675,0.12321889206271178,0.41330736508492816,0.006729252383065301,0.09444389887871439,0.12277728472833038,0.0015665080016398522
